;name;latitude;longitude
149;GKS;50.0297;10.224
150;Niederrhein;51.4855;6.8344
151;Darmstadt;49.8849;8.6501
152;GUD-Anlage DREWSEN;52.6235;10.2457
153;Gars;48.154;12.3111
154;Geesthacht;53.426;10.3359
155;Geisling;48.9748;12.344
156;Irsching;48.767;11.58
157;Gersteinwerk;51.6725;7.7099
158;GichtNatural Gaskraftwerk Dillingen;49.3548;6.7315
159;Goldisthal;50.5098;11.0209
160;Grohnde;52.0356;9.4135
161;Grubenheizkraftwerk;51.4627;11.714
162;GuD;51.2214;6.7313
163;Anlage WVK;48.0202;7.8452
164;Baunatal  VW WerksgelÃ¤nde;51.2531;9.4379
165;Bitterfeld;51.6257;12.327
166;Hillegossen;52.0333;8.5333
167;Leuna;51.2998;12.0193
168;Marienehe;54.1255;12.0819
169;Schwarzheide;51.4762;13.8891
170;Tiefstack;53.5267;10.0658
171;GuD-Anlage;49.9882;9.1558
172;GuD-Anlage RÃ¼sselsheim;49.992;8.4141
173;GuD-Neubrandenburg;53.5745;13.2951
174;GuD-Ikw StaÃfurt;51.8655;11.5738
175;GuD-Kraftwerk;49.5307;8.4709
176;Gummering;48.6225;12.398
177;HBB;47.796;12.1193
178;HBerlin-NeukÃ¶lln;52.4253;13.5173
179;"""HelmshÃ¤ger Berg""";54.0973;13.385
180;1;51.4707;6.8616
181;1 Werk Offstein;49.5991;8.221
182;2;51.4707;6.8616
183;Altenstadt;47.7971;10.8587
184;Bad Salzungen;50.8003;10.2206
185;Barmen;51.2689;7.2003
186;BohrhÃ¼gel;50.6315;10.6987
187;Brandenburg;51.5122;13.9711
188;Chemnitz  Nord II (Natural Gas);50.857;12.9231
189;Dresden-Nossener BrÃ¼cke;51.0421;13.7086
190;Eltmann;49.984;10.6514
191;Erfurt-Ost;50.9848;11.0299
192;Erlangen (Coal);49.5928;11.0015
193;Erlangen (Natural Gas);49.593;11.0016
194;Fenne  GrubenNatural Gaskraftwerk;49.249;6.8792
195;Freiberg;48.0056;7.8423
196;GÃ¶ttingen;51.5534;9.9337
197;Halle Trotha;51.481;11.9643
198;Hiltrop;51.508;7.2503
199;Humboldtstr.;54.3275;10.1267
200;I;51.4293;6.752
201;III/B;51.3907;6.7478
202;Jena;50.8969;11.5857
203;Karcherstr. (Coal);49.4346;7.7582
204;Karcherstr. (Natural Gas);49.4347;7.7602
205;Mannheim;49.5224;8.4529
206;Merheim;50.9431;7.0852
207;Merkenich;51.0179;6.964
208;Merkenich (Natural Gas);51.0178;6.9643
209;Niederrad;50.0856;8.6279
210;Niehl 2;50.9749;6.988
211;Nord;52.4328;10.7861
212;Nord West;51.2529;9.438
213;Pfaffenwald;48.7508;9.1103
214;Potsdam-SÃ¼d;52.3661;13.1125
215;Sachtleben;51.4409;6.7054
216;Sandreuth;49.4386;11.0606
217;Sandreuth;49.4386;11.0606
218;Schwarza;50.6869;11.3293
219;Schwerin Lankow;53.6539;11.373
220;Schwerin SÃ¼d;53.5779;11.3965
221;SÃ¼dstadt;50.917;6.9573
222;West;52.4422;10.7645
223;West;50.0984;8.6531
224;West;50.0984;8.6531
225;West ?;50.0985;8.653
226;Wiesengrund;50.9816;10.2906
227;WÃ¶rth;49.07;8.307
228;HKW-Mitte;52.2786;10.5147
229;HKW-Nord;52.2786;10.5147
230;HKW-West;52.0262;8.8666
231;HKW3 UPM Schongau;48.1603;10.1144
232;Hafen;53.1249;8.7287
