BEGINN_DATUM;BEGINN_UHRZEIT;ENDE_DATUM;ENDE_UHRZEIT;NETZREGION;GRUND_DER_MASSNAHME;RICHTUNG;MITTLERE_LEISTUNG_MW;MAXIMALE_LEISTUNG_MW;GESAMTE_ARBEIT_MWH;ANWEISENDER_UENB;ANFORDERNDER_UENB;BETROFFENE_ANLAGE
17.11.2015;10:00;17.11.2015;16:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;778;804;4670;50Hertz;50Hertz & TenneT DE;Boxberg, Jaenschwalde, Lippendorf VE, Lippendorf EnBW, Schkopau, Schwarze Pumpe
17.11.2015;10:00;17.11.2015;12:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;40;40;80;TenneT DE;TenneT DE;Irsching 5
17.11.2015;12:00;17.11.2015;16:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;40;40;160;TenneT DE;50Hertz & TenneT DE;Irsching 5
17.11.2015;16:00;18.11.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;1100;1600;8800;50Hertz;50Hertz & TenneT DE;Boxberg, Jaenschwalde, Lippendorf VE
17.11.2015;16:00;17.11.2015;22:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;1152;2085;6913;50Hertz;50Hertz & TenneT DE;Jaenschwalde, Lippendorf VE, Lippendorf EnBW
17.11.2015;16:00;18.11.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;305;399;2442;TenneT DE;50Hertz & TenneT DE;Reservekraftwerk Staudinger 4
17.11.2015;17:00;17.11.2015;20:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;190;190;570;TenneT DE;TenneT DE;Irsching 5
17.11.2015;17:15;17.11.2015;22:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;151;210;715;TenneT DE;TenneT DE;Gebersdorf 2
17.11.2015;17:45;17.11.2015;21:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;215;350;700;TenneT DE;TenneT DE;Wilhelmshaven (EON)
17.11.2015;18:00;17.11.2015;19:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;100;100;100;TenneT DE;50Hertz & TenneT DE;Irsching 5
17.11.2015;18:00;17.11.2015;23:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;310;508;1552;TenneT DE;TenneT DE;Wilhelmshaven (GDF)
17.11.2015;18:15;17.11.2015;19:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;70;70;52;TenneT DE;TenneT DE;Irsching 5
17.11.2015;19:00;17.11.2015;21:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;84;99;169;TenneT DE;50Hertz & TenneT DE;Reservekraftwerk Staudinger 4
17.11.2015;19:00;17.11.2015;20:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;130;130;130;TenneT DE;TenneT DE;Reservekraftwerk Staudinger 4
17.11.2015;19:00;17.11.2015;21:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;80;100;160;TenneT DE;TenneT DE;Gebersdorf 2
17.11.2015;20:00;17.11.2015;23:00;Grenzregion RZ 50Hertz - RZ PSE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;293;440;880;50Hertz;50Hertz & PSE;Rostock
17.11.2015;20:00;18.11.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;110;125;440;TenneT DE;50Hertz & TenneT DE;Zolling 5
17.11.2015;21:00;17.11.2015;23:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;60;60;120;TenneT DE;50Hertz & TenneT DE;Irsching 5
17.11.2015;22:00;18.11.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;1046;1200;2093;50Hertz;50Hertz & TenneT DE;Jaenschwalde, Lippendorf VE
17.11.2015;22:00;18.11.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;149;210;298;TenneT DE;50Hertz & TenneT DE;Gebersdorf 2
17.11.2015;23:00;18.11.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;450;450;450;50Hertz;50Hertz & TenneT DE;Boxberg, Jaenschwalde, Lippendorf VE, Schkopau
17.11.2015;23:00;18.11.2015;00:00;Grenzregion RZ 50Hertz - RZ PSE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;400;400;400;50Hertz;50Hertz & PSE;Boxberg
18.11.2015;00:00;19.11.2015;00:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;394;500;9455;TransnetBW;TenneT DE;Rheinhafen-Dampfkraftwerk Karlsruhe
18.11.2015;00:00;18.11.2015;11:30;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;324;560;3725;TransnetBW;TenneT DE;Heizkraftwerk Heilbronn
18.11.2015;00:00;18.11.2015;05:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;375;475;1876;50Hertz;50Hertz & TenneT DE;Boxberg, Jaenschwalde, Lippendorf VE, Moorburg, Schkopau, Schwarze Pumpe
18.11.2015;00:00;18.11.2015;05:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;375;475;1876;50Hertz;50Hertz & TenneT DE;Lippendorf VE
18.11.2015;00:00;18.11.2015;08:00;Grenzregion RZ 50Hertz - RZ PSE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;1025;2200;8204;50Hertz;50Hertz & PSE;Boxberg, Jaenschwalde
18.11.2015;00:00;18.11.2015;06:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;200;200;1200;Amprion;TenneT DE;Emsland KKE
18.11.2015;00:00;18.11.2015;06:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;114;114;684;TenneT DE;50Hertz & TenneT DE;Zolling 5
18.11.2015;00:00;18.11.2015;00:30;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;52;85;26;TenneT DE;50Hertz & TenneT DE;Gebersdorf 2
18.11.2015;00:00;18.11.2015;00:15;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;30;30;8;TenneT DE;50Hertz & TenneT DE;Irsching 5
18.11.2015;00:00;19.11.2015;00:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;429;538;10300;TenneT DE;TenneT DE;Reservekraftwerk Staudinger 4
18.11.2015;05:00;18.11.2015;23:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;1270;1935;22855;50Hertz;50Hertz & TenneT DE;Boxberg, Jaenschwalde, Lippendorf VE, Moorburg, Rostock, Schkopau, Schwarze Pumpe
18.11.2015;05:00;18.11.2015;23:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;2134;3986;38420;50Hertz;50Hertz & TenneT DE;Boxberg, Jaenschwalde, Lippendorf VE, Moorburg, Rostock, Schkopau, Schwarze Pumpe
18.11.2015;06:00;18.11.2015;16:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;374;400;3738;TenneT DE;TenneT DE;Brokdorf (EON)
18.11.2015;06:00;18.11.2015;09:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;114;114;342;TenneT DE;TenneT DE;Zolling 5
18.11.2015;06:00;18.11.2015;16:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;374;400;3738;TenneT DE;TenneT DE;Brokdorf
18.11.2015;06:00;18.11.2015;21:45;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;430;540;6776;TenneT DE;50Hertz & TenneT DE;Irsching 5
18.11.2015;07:15;18.11.2015;11:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;253;300;950;TenneT DE;50Hertz & TenneT DE;Zolling 5
18.11.2015;08:00;18.11.2015;11:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;1052;1550;3157;50Hertz;50Hertz & TenneT DE;Lippendorf VE
18.11.2015;08:00;18.11.2015;16:00;Grenzregion RZ 50Hertz - RZ PSE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;1605;2500;12843;50Hertz;50Hertz & PSE;Boxberg, Jaenschwalde, Schwarze Pumpe
18.11.2015;08:45;18.11.2015;12:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;128;187;416;TenneT DE;TenneT DE;Mehrum
18.11.2015;08:45;18.11.2015;21:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;548;755;6716;TenneT DE;TenneT DE;Wilhelmshaven (EON)
18.11.2015;08:45;18.11.2015;15:15;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;203;215;1322;TenneT DE;TenneT DE;Heyden
18.11.2015;09:00;18.11.2015;12:15;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;161;370;522;TenneT DE;50Hertz & TenneT DE;Zolling 5
18.11.2015;09:00;18.11.2015;10:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;100;100;100;TenneT DE;50Hertz & TenneT DE;Irsching 5
18.11.2015;10:00;18.11.2015;14:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;100;100;400;TenneT DE;TenneT DE;Grohnde
18.11.2015;10:00;18.11.2015;14:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;120;140;480;TenneT DE;TenneT DE;Irsching 5
18.11.2015;10:00;18.11.2015;12:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;140;180;280;TenneT DE;TenneT DE;Irsching 5
18.11.2015;11:30;18.11.2015;15:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;166;380;580;TransnetBW;50Hertz & TenneT DE;Vorarlberger Illwerke AG
18.11.2015;12:00;18.11.2015;14:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;100;100;200;TenneT DE;TenneT DE;Reservekraftwerk Staudinger 4
18.11.2015;12:00;18.11.2015;13:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;95;95;95;TenneT DE;TenneT DE;Irsching 5
18.11.2015;13:15;18.11.2015;15:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;57;57;100;TenneT DE;TenneT DE;Erzhausen 4
18.11.2015;13:15;18.11.2015;14:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;57;57;43;TenneT DE;TenneT DE;Erzhausen 4
18.11.2015;14:00;18.11.2015;15:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;25;25;25;TenneT DE;TenneT DE;Irsching 5
18.11.2015;14:30;18.11.2015;19:45;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;203;370;1065;TenneT DE;TenneT DE;Mehrum
18.11.2015;14:30;18.11.2015;20:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;145;160;800;TenneT DE;TenneT DE;Kiel
18.11.2015;16:30;18.11.2015;19:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;214;260;535;TenneT DE;TenneT DE;Irsching 5
18.11.2015;16:45;18.11.2015;18:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;89;101;111;TenneT DE;50Hertz & TenneT DE;Reservekraftwerk Staudinger 4
18.11.2015;17:00;19.11.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;129;300;900;TransnetBW;50Hertz & TenneT DE;Vorarlberger Illwerke AG
18.11.2015;17:00;18.11.2015;18:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;120;120;120;TransnetBW;50Hertz & TenneT DE;Kraftwerk Walheim
18.11.2015;17:00;19.11.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;220;625;1538;50Hertz;50Hertz & TenneT DE;Boxberg, Jaenschwalde, Schwarze Pumpe
18.11.2015;19:00;18.11.2015;21:15;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;117;200;262;TenneT DE;50Hertz & TenneT DE;Reservekraftwerk Staudinger 4
18.11.2015;19:00;18.11.2015;20:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;56;101;56;TenneT DE;TenneT DE;Reservekraftwerk Staudinger 4
18.11.2015;19:00;18.11.2015;22:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;139;260;418;TenneT DE;50Hertz & TenneT DE;Irsching 5
18.11.2015;19:00;18.11.2015;20:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;175;200;175;TenneT DE;TenneT DE;Irsching 5
18.11.2015;20:00;19.11.2015;00:00;Grenzregion RZ 50Hertz - RZ PSE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;216;375;863;50Hertz;50Hertz & PSE;Boxberg, Jaenschwalde, Schwarze Pumpe
18.11.2015;21:30;18.11.2015;23:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;92;100;138;TenneT DE;50Hertz & TenneT DE;Reservekraftwerk Staudinger 4
18.11.2015;23:00;19.11.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;570;570;570;50Hertz;50Hertz & TenneT DE;Boxberg, Jaenschwalde, Lippendorf VE, Moorburg, Schkopau, Schwarze Pumpe
18.11.2015;23:00;19.11.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;750;750;750;50Hertz;50Hertz & TenneT DE;Boxberg, Jaenschwalde, Lippendorf VE, Moorburg, Schkopau, Schwarze Pumpe
19.11.2015;00:00;19.11.2015;05:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;200;550;1000;50Hertz;50Hertz & TenneT DE;Jaenschwalde, Schkopau
19.11.2015;00:00;19.11.2015;05:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;224;430;1118;50Hertz;50Hertz & TenneT DE;Lippendorf VE, Lippendorf EnbW
19.11.2015;00:00;19.11.2015;05:00;Grenzregion RZ 50Hertz - RZ PSE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;715;1050;3575;50Hertz;50Hertz & PSE;Lippendorf EnbW
19.11.2015;00:00;19.11.2015;01:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;250;400;250;TransnetBW;TenneT DE;Rheinhafen-Dampfkraftwerk Karlsruhe
19.11.2015;00:00;19.11.2015;07:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;390;425;2727;TenneT DE;TenneT DE;Reservekraftwerk Staudinger 4
19.11.2015;04:00;19.11.2015;11:00;RZ 50Hertz;Strom- und Spannungsbedingter RD;Wirkleistungseinspeisung erhoehen;355;450;2485;Amprion;50Hertz;Weiher
19.11.2015;05:00;20.11.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;1950;2435;37050;50Hertz;50Hertz & TenneT DE;Boxberg, Jaenschwalde, Schkopau, Schwarze Pumpe
19.11.2015;05:00;20.11.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;1489;2486;28291;50Hertz;50Hertz & TenneT DE;Lippendorf VE, Rostock, Lippendorf EnbW
19.11.2015;05:00;19.11.2015;07:00;Grenzregion RZ 50Hertz - RZ PSE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;1224;1580;2449;50Hertz;50Hertz & PSE;Jaenschwalde, Rostock
19.11.2015;05:00;19.11.2015;06:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;60;60;60;TenneT DE;50Hertz & TenneT DE;Reservekraftwerk Staudinger 4
19.11.2015;06:00;20.11.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;391;530;7030;TenneT DE;50Hertz & TenneT DE;Irsching 5
19.11.2015;06:00;19.11.2015;11:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;128;150;638;TenneT DE;50Hertz & TenneT DE;Gebersdorf 2
19.11.2015;06:00;19.11.2015;18:30;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;379;499;4736;TenneT DE;TenneT DE;Wilhelmshaven (GDF)
19.11.2015;06:30;20.11.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;454;500;7950;TransnetBW;TenneT DE;Rheinhafen-Dampfkraftwerk Karlsruhe
19.11.2015;06:30;20.11.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;413;601;7234;TenneT DE;50Hertz & TenneT DE;Reservekraftwerk Staudinger 4
19.11.2015;06:30;19.11.2015;10:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;180;190;630;TenneT DE;TenneT DE;Kiel
19.11.2015;07:00;19.11.2015;22:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;410;900;6150;50Hertz;50Hertz & TenneT DE;Boxberg, Jaenschwalde, Schkopau, Schwarze Pumpe
19.11.2015;07:00;19.11.2015;14:00;Grenzregion RZ 50Hertz - RZ PSE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;693;886;4849;50Hertz;50Hertz & PSE;Rostock
19.11.2015;07:00;19.11.2015;09:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;400;400;800;TransnetBW;TenneT DE;Vorarlberger Illwerke AG
19.11.2015;07:00;19.11.2015;07:45;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;55;55;41;TenneT DE;TenneT DE;Erzhausen 1
19.11.2015;07:00;19.11.2015;07:45;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;55;55;41;TenneT DE;TenneT DE;Erzhausen 2
19.11.2015;07:00;19.11.2015;09:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;55;55;110;TenneT DE;TenneT DE;Erzhausen 4
19.11.2015;07:00;19.11.2015;08:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;55;55;55;TenneT DE;TenneT DE;Erzhausen 3
19.11.2015;07:15;19.11.2015;08:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;50;50;38;TenneT DE;TenneT DE;Mehrum
19.11.2015;07:30;19.11.2015;09:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;150;150;225;TenneT DE;TenneT DE;Gebersdorf 2
19.11.2015;08:00;19.11.2015;08:15;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;50;50;12;TenneT DE;TenneT DE;Mehrum
19.11.2015;08:30;19.11.2015;08:45;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;90;90;22;TenneT DE;TenneT DE;Mehrum
19.11.2015;08:45;19.11.2015;09:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;10;10;2;TenneT DE;TenneT DE;Mehrum
19.11.2015;09:00;19.11.2015;10:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;46;73;46;TenneT DE;TenneT DE;Mehrum
19.11.2015;09:00;19.11.2015;12:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;260;350;780;TenneT DE;TenneT DE;Gebersdorf 2
19.11.2015;09:45;19.11.2015;18:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;215;215;1774;TenneT DE;TenneT DE;Heyden
19.11.2015;10:30;19.11.2015;13:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;55;55;138;TenneT DE;TenneT DE;Erzhausen 4
19.11.2015;11:00;19.11.2015;14:00;RZ 50Hertz;Strom- und Spannungsbedingter RD;Wirkleistungseinspeisung erhoehen;0;0;0;Amprion;50Hertz;Weiher
19.11.2015;11:00;19.11.2015;19:00;RZ 50Hertz;Strom- und Spannungsbedingter RD;Wirkleistungseinspeisung erhoehen;544;650;4357;Amprion;50Hertz;Weiher
19.11.2015;11:15;19.11.2015;16:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;230;230;1092;TenneT DE;TenneT DE;Grohnde
19.11.2015;12:00;19.11.2015;13:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;400;400;400;TenneT DE;50Hertz & TenneT DE;Gebersdorf 2
19.11.2015;12:00;19.11.2015;22:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;490;747;4904;TenneT DE;TenneT DE;Wilhelmshaven (EON)
19.11.2015;12:15;19.11.2015;13:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;200;200;150;TenneT DE;TenneT DE;Irsching 5
19.11.2015;12:45;19.11.2015;22:00;RZ 50Hertz, RZ Amprion, RZ TenneT DE, RZ TransnetBW;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;62;67;572;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Reservekraftwerk Irsching 3
19.11.2015;13:00;19.11.2015;14:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;50;50;50;TenneT DE;TenneT DE;Gebersdorf 2
19.11.2015;13:00;19.11.2015;20:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;310;400;2166;TenneT DE;TenneT DE;Gebersdorf 2
19.11.2015;13:00;19.11.2015;14:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;200;200;200;TenneT DE;50Hertz & TenneT DE;Irsching 5
19.11.2015;14:00;19.11.2015;21:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;301;430;2105;TenneT DE;TenneT DE;Irsching 5
19.11.2015;14:30;19.11.2015;23:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;221;290;1878;TenneT DE;TenneT DE;Mehrum
19.11.2015;15:00;19.11.2015;18:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;112;150;338;TenneT DE;TenneT DE;Gebersdorf 2
19.11.2015;16:00;19.11.2015;19:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;190;405;570;TransnetBW;TenneT DE;Vorarlberger Illwerke AG
19.11.2015;17:00;19.11.2015;19:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;120;120;240;TransnetBW;TenneT DE;Kraftwerk Walheim
19.11.2015;17:00;19.11.2015;19:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;65;65;130;TransnetBW;TenneT DE;Heizkraftwerk Altbach/Deizisau 
19.11.2015;19:00;19.11.2015;22:00;RZ 50Hertz;Strom- und Spannungsbedingter RD;Wirkleistungseinspeisung erhoehen;500;650;1500;Amprion;50Hertz;Weiher
19.11.2015;20:00;19.11.2015;22:30;RZ 50Hertz;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;208;250;520;TenneT DE;50Hertz;Irsching 5
19.11.2015;20:00;20.11.2015;00:00;RZ 50Hertz;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;266;400;1062;TenneT DE;50Hertz;Gebersdorf 2
20.11.2015;00:00;21.11.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;315;500;7568;TransnetBW;TenneT DE;Rheinhafen-Dampfkraftwerk Karlsruhe
20.11.2015;00:00;20.11.2015;00:30;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;75;130;38;TenneT DE;50Hertz & TenneT DE;Irsching 5
20.11.2015;00:00;20.11.2015;01:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;304;332;304;TenneT DE;TenneT DE;Reservekraftwerk Staudinger 4
20.11.2015;00:00;20.11.2015;00:30;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;75;120;38;TenneT DE;TenneT DE;Gebersdorf 2
20.11.2015;05:45;20.11.2015;15:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;245;290;2268;TenneT DE;TenneT DE;Mehrum
20.11.2015;05:45;20.11.2015;17:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;200;360;2245;TenneT DE;50Hertz & TenneT DE;Gebersdorf 2
20.11.2015;06:00;20.11.2015;20:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;273;610;3828;TenneT DE;50Hertz & TenneT DE;Irsching 5
